UAV1X	UAV1Y	UAV1Z	UAV1situation	UAV1_t	UAV2X	UAV2Y	UAV2Z	UAV2situation	UAV2_t	UAV3X	UAV3Y	UAV3Z	UAV3situation	UAV3_t	
16.4932	32.0651	4.06743	6	5.07599	49.5017	9.07305	5.79926	5	5.07602	63.4503	0	5	2	5.07602	
16.531	31.615	3.88789	6	5.10486	49.4495	9.30127	5.91455	5	5.1049	64.2003	0	5	2	5.10491	
16.5705	31.1448	3.65812	6	5.13211	49.4021	9.52939	6.03004	5	5.13213	64.9503	0	5	2	5.13214	
16.5979	30.8182	3.45583	6	5.16656	49.3724	9.68089	6.10721	5	5.16659	65.7003	0	5	2	5.1666	
16.6201	30.554	3.24543	6	5.19907	49.3321	9.90827	6.22308	5	5.1991	66.6003	0	5	2	5.19911	
16.64	30.3176	2.98509	6	5.22916	49.2958	10.135	6.33919	5	5.2292	67.3503	0	5	2	5.22921	
16.6514	30.1816	2.76389	6	5.25993	49.2739	10.2858	6.4167	5	5.25999	68.1003	0	5	2	5.26	
16.6589	30.092	2.54054	6	5.29266	49.2447	10.5117	6.53314	5	5.29272	69.0003	0	5	2	5.29273	
16.664	30.0318	2.27118	6	5.32263	49.2194	10.7368	6.64978	5	5.32265	69.7503	0	5	2	5.32266	
16.6659	30.009	2.04629	6	5.3353	49.2053	10.8869	6.72759	5	5.33533	70.5003	0	5	2	5.33533	
16.6666	30.0012	1.82131	6	5.37347	49.1868	11.1111	6.84451	5	5.3735	71.4003	0	5	2	5.3735	
16.6667	30	1.64131	6	5.41065	49.1729	11.335	6.96154	5	5.41067	72.1504	0	5	2	5.41068	
16.2317	29.2171	1.66781	4	5.44617	49.1657	11.4838	7.03967	5	5.4462	72.9004	0	5	2	5.44621	
15.8693	28.5647	1.69027	4	5.47863	49.1586	11.7067	7.15692	5	5.47865	73.8004	0	5	2	5.47866	
15.5069	27.9125	1.71309	4	5.50938	49.1558	11.9292	7.27425	5	5.50942	74.5504	0	5	2	5.50943	
15.0722	27.13	1.74096	4	5.54005	49.156	12.0771	7.35256	5	5.54011	75.3004	0	5	2	5.54012	
14.71	26.478	1.76462	4	5.57011	49.1598	12.2986	7.47007	5	5.57015	76.2004	0	5	2	5.57015	
14.3478	25.8261	1.78868	4	5.6007	49.1672	12.5191	7.58772	5	5.60076	76.9504	0	5	2	5.60077	
13.9134	25.0441	1.81811	4	5.6334	49.1745	12.666	7.66616	5	5.63345	77.7004	0	5	2	5.63346	
13.5514	24.3925	1.84313	4	5.66598	49.1883	12.8854	7.78395	5	5.66603	78.6004	0	5	2	5.66604	
13.1895	23.7411	1.86861	4	5.69719	49.2063	13.1045	7.90175	5	5.69724	79.3504	0	5	2	5.69725	
12.7553	22.9596	1.89984	4	5.72708	49.2199	13.2498	7.98039	5	5.72713	80.1004	0	5	2	5.72715	
12.3937	22.3086	1.92642	4	5.76012	49.244	13.4676	8.0983	5	5.76017	81.0004	0	5	2	5.76018	
12.0321	21.6578	1.95355	4	5.79667	49.2715	13.6845	8.21629	5	5.79672	81.7505	0	5	2	5.79674	
11.5984	20.877	1.98685	4	5.83282	49.2918	13.8287	8.29498	5	5.83286	82.5005	0	5	2	5.83288	
11.237	20.2267	2.01526	4	5.86873	49.3253	14.0444	8.41303	5	5.86876	83.1361	0.29778	5	2	5.86876	
10.8759	19.5765	2.0443	4	5.90474	49.3619	14.2591	8.53117	5	5.90476	83.0422	0.891113	5	3	5.90476	
10.4426	18.7967	2.08004	4	5.91812	49.3888	14.4022	8.60986	5	5.91817	82.2925	0.870893	5	4	5.91818	
10.0818	18.1472	2.11061	4	5.95221	49.4311	14.6156	8.72803	5	5.95224	81.3928	0.84663	5	4	5.9523	
9.72108	17.498	2.14194	4	5.98514	49.4618	14.7579	8.80673	5	5.98518	80.643	0.826411	5	4	5.98519	
9.28851	16.7193	2.1806	4	6.02366	49.5098	14.97	8.92491	5	6.02369	79.8933	0.806191	5	4	6.0237	
8.92825	16.0709	2.21377	4	6.03743	49.5615	15.1818	9.04301	5	6.03749	79.1435	0.785972	5	4	6.03753	
8.56823	15.4228	2.24786	4	6.06494	49.5984	15.323	9.12165	5	6.06496	78.2439	0.761709	5	4	6.06496	
8.13653	14.6458	2.29009	4	6.07799	49.6555	15.5335	9.23974	5	6.07801	77.4941	0.741489	5	4	6.07801	
7.77709	13.9988	2.32646	4	6.10899	49.7162	15.7436	9.35772	5	6.10902	76.7444	0.72127	5	4	6.10902	
7.41796	13.3523	2.36399	4	6.14387	49.7581	15.883	9.43641	5	6.14391	75.8447	0.697007	5	4	6.14392	
6.98746	12.5775	2.41068	4	6.17493	49.824	16.0918	9.55435	5	6.17495	75.0949	0.676787	5	4	6.17496	
6.62916	11.9325	2.45111	4	6.18937	49.8925	16.2996	9.67231	5	6.1894	74.3452	0.656568	5	4	6.1894	
6.27131	11.2884	2.49303	4	6.20839	49.9402	16.438	9.75089	5	6.20844	73.4455	0.632305	5	4	6.20845	
5.84257	10.5166	2.54551	4	6.23829	50.0136	16.6445	9.86878	5	6.23832	72.6958	0.612085	5	4	6.23832	
5.48594	9.87471	2.59125	4	6.26583	50.0905	16.8507	9.98654	5	6.26586	71.946	0.591866	5	4	6.26587	
